,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,calendar_last_scraped,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,host_neighbourhood,license,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_listings_count,minimum_maximum_nights,last_review,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_value,instant_bookable
30,96%,t,1,1,"['email', 'phone', 'work_email']",t,t,30,2.0,30.0,t,29/12/24,36,2,30/12/12,19/12/24,4.96,4.97,4.87,4.98,,,78,78,29/12/24,484,36,30,30,2.0,30.0,,t,Entire home/apt,3,1.0,1 bath,2.0,1,0,,f,1,1,0,0,3.31,1,30,19/12/24,4.96,4.87,4.98,4.95,f
31,92%,f,24,26,"['email', 'phone']",t,t,1124,90.0,1124.0,t,29/12/24,0,0,14/09/12,30/09/22,4.44,4.65,4.65,4.8,Rockland,,0,181,29/12/24,20,0,1124,1124,90.0,1124.0,,t,Entire home/apt,5,1.0,1 bath,2.0,17,0,,f,17,17,0,0,0.13,24,1124,30/09/22,4.44,4.65,4.8,4.45,f
32,92%,f,24,26,"['email', 'phone']",t,t,365,90.0,365.0,t,29/12/24,0,0,17/10/14,01/06/22,4.85,4.62,4.92,4.54,Rockland,,0,212,29/12/24,13,0,365,365,90.0,365.0,,t,Entire home/apt,4,1.0,1 bath,0.0,17,0,,f,17,17,0,0,0.1,24,365,01/06/22,4.85,4.92,4.54,4.67,f
33,89%,t,2,3,"['email', 'phone']",t,t,1125,3.0,1125.0,t,29/12/24,13,0,11/12/12,03/10/24,4.84,4.92,4.91,4.95,,,29,83,29/12/24,164,13,1125,1125,3.0,1125.0,,t,Entire home/apt,3,1.0,1 bath,1.0,1,0,,f,1,1,0,0,1.12,2,1125,03/10/24,4.84,4.91,4.95,4.81,f
34,50%,f,1,1,"['email', 'phone']",t,t,7,2.0,7.0,t,29/12/24,2,1,10/08/13,23/12/24,4.85,4.94,4.87,4.96,,,11,24,29/12/24,52,2,7,7,2.0,7.0,,t,Entire home/apt,6,1.0,1 bath,1.0,1,0,,f,1,1,0,0,0.37,1,7,23/12/24,4.85,4.87,4.96,4.85,f
35,,f,1,3,"['email', 'phone']",t,t,10,4.0,10.0,t,29/12/24,0,0,09/07/13,19/08/21,5.0,5.0,5.0,4.93,,,0,0,29/12/24,16,0,10,10,4.0,10.0,,t,Entire home/apt,6,,3 baths,4.0,1,0,,f,1,1,0,0,0.11,1,10,19/08/21,5.0,5.0,4.93,4.93,f
36,,f,1,1,"['email', 'phone']",t,f,1125,2.0,1125.0,,29/12/24,0,0,25/10/12,21/08/21,4.9,4.93,4.96,4.91,,,0,0,29/12/24,243,0,1125,1125,2.0,1125.0,,,Entire home/apt,4,,1 bath,2.0,1,0,,f,1,1,0,0,1.64,1,1125,21/08/21,4.9,4.96,4.91,4.92,f
37,92%,t,2,3,"['email', 'phone', 'work_email']",t,t,14,2.9,14.0,t,29/12/24,41,1,26/01/13,01/12/24,4.83,4.85,4.82,4.96,,,90,270,29/12/24,295,41,14,14,2.9,14.0,,t,Private room,1,1.0,1 private bath,1.0,0,2,,f,2,0,2,0,2.03,2,14,01/12/24,4.83,4.82,4.96,4.84,f
38,50%,f,1,2,"['email', 'phone']",t,t,50,7.0,50.0,t,29/12/24,1,0,04/03/13,13/07/24,4.52,4.6,4.0,4.85,,,5,80,29/12/24,21,1,50,50,7.0,50.0,,t,Entire home/apt,4,1.0,1 bath,2.0,1,0,,f,1,1,0,0,0.15,1,50,13/07/24,4.52,4.0,4.85,4.25,f
39,93%,t,1,1,"['email', 'phone']",t,t,1125,4.0,1125.0,t,29/12/24,14,0,10/08/13,01/11/24,4.96,4.96,4.97,4.98,,,3,3,29/12/24,228,14,1125,1125,4.0,1125.0,,t,Entire home/apt,2,,1 bath,1.0,1,0,,f,1,1,0,0,1.64,1,1125,01/11/24,4.96,4.97,4.98,4.98,f
40,100%,t,1,1,"['email', 'phone', 'work_email']",t,t,1125,1.0,1125.0,t,29/12/24,82,3,30/05/17,26/12/24,4.87,4.9,4.95,4.96,,,0,0,29/12/24,519,82,1125,1125,1.0,1125.0,,t,Entire home/apt,4,1.0,1 bath,2.0,1,0,,t,1,1,0,0,5.62,1,1125,26/12/24,4.87,4.95,4.96,4.82,t
41,100%,t,1,1,"['email', 'phone']",t,t,60,30.0,60.0,t,29/12/24,7,0,03/03/13,10/10/24,4.9,4.94,4.94,4.95,Fairfield,,22,74,29/12/24,372,7,60,60,30.0,60.0,,t,Entire home/apt,2,1.0,1 bath,0.0,1,0,,f,1,1,0,0,2.58,1,60,10/10/24,4.9,4.94,4.95,4.9,f
42,98%,f,2,3,"['email', 'phone']",t,t,1125,4.0,1125.0,t,29/12/24,2,0,23/04/13,14/08/24,4.79,4.77,4.52,4.8,,,89,89,29/12/24,44,2,1125,1125,4.0,1125.0,,t,Entire home/apt,8,1.5,1.5 baths,5.0,2,0,,t,2,2,0,0,0.31,2,1125,14/08/24,4.79,4.52,4.8,4.68,t
43,100%,t,1,3,"['email', 'phone']",t,t,1125,2.0,1125.0,t,29/12/24,17,0,29/05/14,30/09/24,4.93,4.93,4.84,4.96,,,64,325,29/12/24,314,17,1125,1125,2.0,1125.0,,t,Entire home/apt,3,1.0,1 bath,1.0,1,0,,t,1,1,0,0,2.44,1,1125,30/09/24,4.93,4.84,4.96,4.85,t
44,92%,f,24,26,"['email', 'phone']",t,t,1125,90.0,1125.0,t,29/12/24,0,0,16/08/14,12/12/22,4.7,4.7,4.1,4.8,Rockland,,1,183,29/12/24,10,0,1125,1125,90.0,1125.0,,t,Entire home/apt,4,1.0,1 bath,1.0,17,0,,f,17,17,0,0,0.08,24,1125,12/12/22,4.7,4.1,4.8,4.5,f
45,85%,f,2,3,"['email', 'phone']",t,t,30,3.0,30.0,t,29/12/24,1,1,20/05/13,06/12/24,4.67,4.76,4.86,4.9,,38332,82,357,29/12/24,219,1,30,30,3.0,30.0,,t,Private room,1,1.0,1 private bath,1.0,0,2,38332,f,2,0,2,0,1.55,2,30,06/12/24,4.67,4.86,4.9,4.72,f
46,0%,f,1,2,"['email', 'phone']",t,t,90,14.0,90.0,t,29/12/24,0,0,19/06/13,30/09/23,5.0,4.88,5.0,4.88,,,87,341,29/12/24,16,0,90,90,14.0,90.0,,t,Entire home/apt,2,1.0,1 bath,1.0,1,0,,f,1,1,0,0,0.11,1,90,30/09/23,5.0,5.0,4.88,4.88,f
47,14%,f,1,1,"['email', 'phone']",t,t,150,3.0,150.0,t,29/12/24,0,0,29/08/13,15/09/23,4.93,4.93,4.91,4.98,,,0,267,29/12/24,46,0,150,150,3.0,150.0,,t,Entire home/apt,6,2.0,2 baths,3.0,1,0,,f,1,1,0,0,0.33,1,150,15/09/23,4.93,4.91,4.98,4.78,f
48,92%,f,24,26,"['email', 'phone']",t,t,1125,90.0,1125.0,t,29/12/24,0,0,08/07/13,01/11/23,4.35,4.62,4.58,4.73,Rockland,,1,243,29/12/24,27,0,1125,1125,90.0,1125.0,,t,Entire home/apt,4,1.0,1 bath,0.0,17,0,,f,17,17,0,0,0.19,24,1125,01/11/23,4.35,4.58,4.73,4.31,f
49,93%,f,3,3,"['email', 'phone']",t,t,1125,3.0,1125.0,t,29/12/24,4,0,16/09/13,23/08/24,4.8,4.86,4.87,4.9,,,86,361,29/12/24,79,4,1125,1125,3.0,1125.0,,t,Entire home/apt,6,1.0,1 bath,2.0,3,0,,f,3,3,0,0,0.57,3,1125,23/08/24,4.8,4.87,4.9,4.7,f
50,93%,f,3,3,"['email', 'phone']",t,t,1125,3.0,1125.0,t,29/12/24,3,0,20/08/13,02/09/24,4.74,4.8,4.73,4.88,,,0,211,29/12/24,74,3,1125,1125,3.0,1125.0,,t,Entire home/apt,6,1.0,1 bath,2.0,3,0,,f,3,3,0,0,0.53,3,1125,02/09/24,4.74,4.73,4.88,4.51,f
